City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Alfred,ZA,77.76,scattered clouds,-33.5906,26.891,The Halyards Hotel
3,Rikitea,PF,77.7,scattered clouds,-23.1203,-134.9692,People ThankYou
5,Buala,SB,78.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
6,Bac Lieu,VN,77.32,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
13,Morrinhos,BR,78.44,overcast clouds,-17.7311,-49.0994,Hotel Águia
27,Bredasdorp,ZA,77.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
31,Bengkulu,ID,78.66,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
32,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
36,Presidencia Roque Saenz Pena,AR,76.71,overcast clouds,-26.7852,-60.4388,Hotel Gualok
37,Namatanai,PG,79.41,light rain,-3.6667,152.4333,Seagulls Inn Namatani
38,Coahuayana,MX,76.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
39,Caravelas,BR,85.42,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
46,Pereira Barreto,BR,89.53,overcast clouds,-20.6383,-51.1092,Hotel Pousada Pantal
49,Port-Gentil,GA,81.19,overcast clouds,-0.7193,8.7815,Fengshui Residence
55,Hermanus,ZA,80.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
59,Rabaul,PG,80.78,overcast clouds,-4.1967,152.1721,Rabaul Hotel
66,Jaciara,BR,81.55,overcast clouds,-15.9653,-54.9683,Taba Hotel
70,Kavaratti,IN,78.93,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
73,Vaini,TO,81.45,light rain,-21.2,-175.2,Keleti Beach Resort
82,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
83,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
87,Butaritari,KI,81.43,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
90,West Bay,KY,80.01,few clouds,19.3667,-81.4167,Calypso Cove
91,Labuhan,ID,79.66,overcast clouds,-6.8844,112.2051,DoubleFAG
95,Sarangani,PH,81.93,few clouds,5.4033,125.4636,Ballistic Islet
99,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
100,Cape Town,ZA,81.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
104,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
106,Tayu,ID,78.44,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
107,Ambilobe,MG,80.08,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
110,Batticaloa,LK,77.63,overcast clouds,7.7102,81.6924,Grand Star Guest House
111,Isangel,VU,79.7,moderate rain,-19.55,169.2667,Tanna Lodge
114,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
122,Saint-Philippe,RE,83.75,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
125,The Valley,AI,81.82,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
129,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
131,Mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
134,Vryheid,ZA,86.88,clear sky,-27.7695,30.7917,Bivane Game Lodge
140,Kudahuvadhoo,MV,80.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
142,May Pen,JM,78.21,clear sky,17.9645,-77.2451,Mus Com Bac
144,Hithadhoo,MV,81.41,moderate rain,-0.6,73.0833,Scoop Guest House
148,Atar,MR,77.65,broken clouds,20.5169,-13.0499,Oumou Elghoura
153,Rio Grande,BR,77.11,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
154,Fare,PF,80.22,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
155,Diffa,NE,78.08,broken clouds,13.3154,12.6113,ProDAF/Diffa
156,Nieuw Amsterdam,SR,82.56,broken clouds,5.8833,-55.0833,Hotel Stardust
160,Port Elizabeth,ZA,78.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
161,Kilindoni,TZ,82.13,clear sky,-7.9139,39.6668,Bustani B&B
162,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
165,Castro,BR,75.25,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
172,Joao Pinheiro,BR,78.39,clear sky,-17.7425,-46.1725,Hotel Santos
177,Waingapu,ID,80.37,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
182,Tevaitoa,PF,80.1,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
184,Nampula,MZ,75.15,thunderstorm with light rain,-15.1165,39.2666,BUTIK Hotel
189,Saurimo,AO,89.92,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
210,Bonthe,SL,87.87,clear sky,7.5264,-12.505,Bonthe Holiday Village
212,East London,ZA,79.25,broken clouds,-33.0153,27.9116,Tu Casa
213,Ipubi,BR,85.05,overcast clouds,-7.6519,-40.1489,Só Love Motel
214,Bubaque,GW,78.75,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
218,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
222,Mahibadhoo,MV,80.28,scattered clouds,3.7833,72.9667,Omadhoo Inn
225,Natalio,PY,85.98,overcast clouds,-26.7167,-55.0833,Casa familia Sánchez
231,Souillac,MU,83.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
233,Yulara,AU,87.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
235,Quatre Cocos,MU,83.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
241,Hobyo,SO,78.69,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
248,Trinidad,BO,84.18,broken clouds,-14.8333,-64.9,Hotel Piesta
250,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
264,Ambovombe,MG,77.74,clear sky,-25.1667,46.0833,RELAHARA
267,Honiara,SB,77.58,broken clouds,-9.4333,159.95,Heritage Park Hotel
270,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
272,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
273,Iralaya,HN,79.39,clear sky,15.0,-83.2333,Iglesia morava renovada
276,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
277,Dingle,PH,76.19,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
282,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
283,Pirapozinho,BR,83.68,few clouds,-22.2753,-51.5,São Paulo
286,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,The Passage
292,Mumford,GH,84.15,clear sky,5.2618,-0.759,Spanish Villa
298,Banavar,IN,75.61,overcast clouds,13.4136,76.1683,Shree Durga Lodge
300,Saint-Pierre,RE,83.84,few clouds,-21.3393,55.4781,Lindsey Hôtel
310,Cobija,BO,78.98,broken clouds,-11.0267,-68.7692,Hotel Obelisco
313,Vao,NC,78.51,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
319,Galle,LK,78.06,overcast clouds,6.0367,80.217,Amangalla
323,Saldanha,ZA,78.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
328,Ugoofaaru,MV,79.5,scattered clouds,5.6667,73.0,Ungoofaaru Inn
330,Santa Helena,BR,75.06,overcast clouds,-2.2311,-45.3,Turi Plaza Hotel
332,Soyo,AO,86.05,clear sky,-6.1349,12.3689,Hotel Mpampa
336,Karaton,ID,80.76,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
337,Grand Gaube,MU,83.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
344,Loubomo,CG,89.78,scattered clouds,-4.1997,12.6739,La Dolisienne
345,Kota Kinabalu,MY,76.98,scattered clouds,5.9749,116.0724,Gaya Centre Hotel
363,San Carlos,VE,84.61,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
368,Montepuez,MZ,77.29,light rain,-13.1256,38.9997,PembaAparthotel
370,Faanui,PF,80.8,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
373,Oranjestad,AW,76.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
382,Puerto Escondido,MX,76.68,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
384,La Romana,DO,80.33,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
386,Champerico,GT,83.35,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
394,Alyangula,AU,85.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
395,Lorengau,PG,80.98,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
404,Quelimane,MZ,87.75,few clouds,-17.8786,36.8883,Hotel Flamingo
413,Tessaoua,NE,82.71,clear sky,13.7574,7.9874,Benin Dan Kaabou Heberge
416,Lahad Datu,MY,78.85,broken clouds,5.0268,118.327,The 27th House
423,Kirakira,SB,76.78,light rain,-10.4544,161.9205,SanBiz Lodge
428,Daru,PG,79.48,overcast clouds,-9.0763,143.2092,Daru Lodge
