City_ID,City,Cloudiness,Wind Speed,Country,Date,Lat,Lng,Max Temp,Humidity
0,Shingu,93,3.36,JP,2022-01-26 01:02:11,33.7333,135.9833,51.19,51
1,Vardo,26,24.34,NO,2022-01-26 01:02:11,70.3705,31.1107,29.57,75
2,Albany,11,8.05,US,2022-01-26 00:58:41,42.6001,-73.9662,24.28,72
3,Coahuayana,0,3.04,MX,2022-01-26 01:02:11,18.7333,-103.6833,73.51,74
4,Severo-Kurilsk,45,5.75,RU,2022-01-26 01:02:12,50.6789,156.125,26.38,55
5,Hermanus,94,12.88,ZA,2022-01-26 01:02:12,-34.4187,19.2345,66.79,85
6,Yar-Sale,100,17.78,RU,2022-01-26 01:02:12,66.8333,70.8333,11.48,94
7,Kavieng,99,7.52,PG,2022-01-26 01:02:13,-2.5744,150.7967,84.15,73
8,Rikitea,100,16.55,PF,2022-01-26 01:02:13,-23.1203,-134.9692,78.55,75
9,Puerto Ayora,76,6.35,EC,2022-01-26 01:02:13,-0.7393,-90.3518,73.87,88
10,Cidreira,74,17.16,BR,2022-01-26 01:02:14,-30.1811,-50.2056,77.5,87
11,Busselton,24,11.41,AU,2022-01-26 01:02:14,-33.65,115.3333,67.08,54
12,Xuddur,4,12.82,SO,2022-01-26 01:02:14,4.1213,43.8894,65.3,60
13,Cabo San Lucas,100,4.0,MX,2022-01-26 01:02:14,22.8909,-109.9124,71.51,54
14,Carnarvon,0,16.02,AU,2022-01-26 01:02:15,-24.8667,113.6333,81.55,49
15,Punta Arenas,0,27.63,CL,2022-01-26 00:59:54,-53.15,-70.9167,48.31,57
16,Saskylakh,100,19.24,RU,2022-01-26 01:02:15,71.9167,114.0833,10.33,85
17,Kuytun,100,3.83,RU,2022-01-26 01:02:15,54.3419,101.5036,-7.04,100
18,Jamestown,99,2.8,US,2022-01-26 01:01:03,42.097,-79.2353,16.72,96
19,Mataura,100,3.4,NZ,2022-01-26 01:01:44,-46.1927,168.8643,55.47,96
20,Thompson,100,12.95,CA,2022-01-26 01:02:16,55.7435,-97.8558,-2.79,86
21,Veshenskaya,88,5.59,RU,2022-01-26 01:02:16,49.6303,41.7334,14.23,98
22,Avarua,75,2.3,CK,2022-01-26 01:02:16,-21.2078,-159.775,80.65,78
23,Berlevag,100,27.36,NO,2022-01-26 01:02:17,70.8578,29.0864,31.42,65
24,Atuona,3,17.47,PF,2022-01-26 01:02:17,-9.8,-139.0333,78.31,74
25,Souillac,40,10.36,MU,2022-01-26 01:02:17,-20.5167,57.5167,75.58,69
26,Yellowknife,76,10.0,CA,2022-01-26 01:00:10,62.456,-114.3525,0.55,88
27,Barrow,75,21.85,US,2022-01-26 01:02:18,71.2906,-156.7887,-5.78,77
28,Boralday,75,4.47,KZ,2022-01-26 01:02:18,43.3578,76.8594,22.86,93
29,Micheweni,20,14.03,TZ,2022-01-26 01:02:18,-4.9667,39.8333,79.38,73
30,Bubaque,84,7.45,GW,2022-01-26 01:02:19,11.2833,-15.8333,80.11,58
31,Ushuaia,75,21.85,AR,2022-01-26 00:59:55,-54.8,-68.3,42.46,75
