City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,10.72,80,42,5.19,scattered clouds
1,Eureka,US,40.8021,-124.1637,38.59,58,0,5.48,clear sky
2,Port Alfred,ZA,-33.5906,26.891,77.76,82,45,14.03,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,77.7,73,46,17.78,scattered clouds
4,Torbay,CA,47.6666,-52.7314,24.58,82,75,16.11,broken clouds
5,Buala,SB,-8.145,159.5921,78.4,87,100,7.87,light rain
6,Bac Lieu,VN,9.285,105.7244,77.32,79,88,8.9,overcast clouds
7,Xining,CN,36.6167,101.7667,16.02,87,100,3.24,overcast clouds
8,Qaanaaq,GL,77.484,-69.3632,-4.4,68,100,5.79,overcast clouds
9,Jamestown,US,42.097,-79.2353,12.52,65,0,1.01,clear sky
10,Muravlenko,RU,63.7898,74.523,7.41,88,100,16.69,overcast clouds
11,Pevek,RU,69.7008,170.3133,-28.88,99,30,2.93,scattered clouds
12,Kargasok,RU,59.0556,80.8572,-4.97,99,71,7.4,broken clouds
13,Morrinhos,BR,-17.7311,-49.0994,78.44,65,99,5.91,overcast clouds
14,Zhigansk,RU,66.7697,123.3711,-23.33,100,85,7.31,overcast clouds
15,Leningradskiy,RU,69.3833,178.4167,-15.03,89,97,2.1,overcast clouds
16,Kaitangata,NZ,-46.2817,169.8464,46.92,80,100,3.8,overcast clouds
17,Kapaa,US,22.0752,-159.319,73.72,74,100,10.36,overcast clouds
18,Faya,SA,18.3851,42.4509,66.31,45,2,9.89,clear sky
19,Punta Alta,AR,-38.8759,-62.0736,68.34,48,0,6.49,clear sky
20,Korla,CN,41.7597,86.1469,26.19,55,0,3.74,clear sky
21,San Patricio,US,28.017,-97.5169,53.58,73,100,6.98,overcast clouds
22,Lata,PT,40.1629,-8.3327,63.91,39,21,6.13,few clouds
23,Navrongo,GH,10.8956,-1.0921,95.05,9,2,7.74,clear sky
24,Barrow,US,71.2906,-156.7887,-16.58,83,20,12.66,few clouds
25,Sisimiut,GL,66.9395,-53.6735,5.13,86,100,14.43,light snow
26,Hobart,AU,-42.8794,147.3294,73.26,68,82,11.5,broken clouds
27,Bredasdorp,ZA,-34.5322,20.0403,77.29,60,86,11.5,overcast clouds
28,Dikson,RU,73.5069,80.5464,12.25,94,100,25.23,light snow
29,Hilo,US,19.7297,-155.09,66.61,72,0,9.22,clear sky
30,Ancud,CL,-41.8697,-73.8203,70.43,53,0,2.75,clear sky
31,Bengkulu,ID,-3.8004,102.2655,78.66,83,100,3.09,overcast clouds
32,Avarua,CK,-21.2078,-159.775,78.85,94,20,12.66,few clouds
33,Suzaka,JP,36.65,138.3167,32.43,91,63,1.83,broken clouds
34,Sebinkarahisar,TR,40.2883,38.4236,18.07,93,92,1.14,light snow
35,Ponta Do Sol,PT,32.6667,-17.1,64.71,67,41,3.71,scattered clouds
